uniqueIdentifier,amount,date,bankName
Mandiri2864,121100,2024-01-16,Mandiri
BNI2865,-125811,2024-01-27,BNI
BRI2866,111175,2024-01-06,BRI
BRI2867,117760,2024-01-15,BRI
BNI2868,107464,2024-01-02,BNI
Mandiri2869,108108,2024-01-22,Mandiri
BNI2870,-114088,2024-01-19,BNI
Mandiri2871,113281,2024-01-08,Mandiri
BRI2872,-131588,2024-01-02,BRI
BNI2873,-113805,2024-01-26,BNI
BNI2874,124414,2024-01-25,BNI
BNI2875,-100624,2024-01-16,BNI
BRI2876,117012,2024-01-07,BRI
BNI2877,115479,2024-01-30,BNI
BNI2878,-114362,2024-01-06,BNI
BRI2879,-132299,2024-01-18,BRI
BNI2880,-127472,2024-01-12,BNI
BCA2881,129500,2024-01-25,BCA
BNI2882,103505,2024-01-06,BNI
BCA2883,-109896,2024-01-09,BCA
BRI2884,106968,2024-01-14,BRI
BRI2885,-113881,2024-01-08,BRI
BRI2886,-112702,2024-01-27,BRI
BNI2887,-111468,2024-01-20,BNI
Mandiri2888,115910,2024-01-05,Mandiri
BNI2889,-110551,2024-01-18,BNI
BRI2890,-117971,2024-01-07,BRI
BRI2891,125199,2024-01-18,BRI
Mandiri2892,-132502,2024-01-09,Mandiri
Mandiri2893,-114913,2024-01-24,Mandiri
BRI2894,-113858,2024-01-13,BRI
Mandiri2895,105809,2024-01-28,Mandiri
BCA2896,110583,2024-01-29,BCA
BRI2897,122243,2024-01-18,BRI
Mandiri2898,117358,2024-01-24,Mandiri
BNI2899,106936,2024-01-02,BNI
BCA2900,116751,2024-01-13,BCA
BNI2901,-128710,2024-01-13,BNI
BNI2902,-123633,2024-01-12,BNI
BNI2903,-128017,2024-01-26,BNI
BCA2904,-123888,2024-01-17,BCA
Mandiri2905,-110574,2024-01-16,Mandiri
Mandiri2906,-106731,2024-01-28,Mandiri
BNI2907,-116995,2024-01-02,BNI
BCA2908,-103102,2024-01-16,BCA
BRI2909,-119793,2024-01-18,BRI
BNI2910,109328,2024-01-22,BNI
BCA2911,-127858,2024-01-11,BCA
BRI2912,122268,2024-01-13,BRI
Mandiri2913,-126390,2024-01-15,Mandiri
BRI2914,-121455,2024-01-08,BRI
BNI2915,-124057,2024-01-13,BNI
BCA2916,110170,2024-01-23,BCA
BCA2917,-106258,2024-01-12,BCA
BCA2918,-119939,2024-01-08,BCA
BNI2919,114917,2024-01-11,BNI
BRI2920,108511,2024-01-15,BRI
Mandiri2921,103041,2024-01-11,Mandiri
BCA2922,-132346,2024-01-13,BCA
Mandiri2923,116114,2024-01-30,Mandiri
BCA2924,113750,2024-01-15,BCA
Mandiri2925,107431,2024-01-18,Mandiri
BCA2926,-107335,2024-01-11,BCA
BRI2927,129799,2024-01-09,BRI
Mandiri2928,-101658,2024-01-12,Mandiri
BRI2929,105093,2024-01-21,BRI
BCA2930,-110569,2024-01-12,BCA
BNI2931,-126961,2024-01-15,BNI
BNI2932,-122978,2024-01-18,BNI
Mandiri2933,-103802,2024-01-02,Mandiri
BRI2934,103800,2024-01-26,BRI
BNI2935,-129312,2024-01-29,BNI
Mandiri2936,-112811,2024-01-07,Mandiri
Mandiri2937,130560,2024-01-25,Mandiri
BCA2938,121203,2024-01-25,BCA
BRI2939,-111140,2024-01-15,BRI
BRI2940,121321,2024-01-25,BRI
BCA2941,107554,2024-01-24,BCA
BCA2942,100554,2024-01-10,BCA
Mandiri2943,113318,2024-01-26,Mandiri
BRI2944,116844,2024-01-06,BRI
Mandiri2945,122046,2024-01-10,Mandiri
BRI2946,-117805,2024-01-24,BRI
Mandiri2947,-126087,2024-01-01,Mandiri
BNI2948,-101779,2024-01-28,BNI
BRI2949,114304,2024-01-30,BRI
BNI2950,118802,2024-01-04,BNI
Mandiri2951,-100025,2024-01-03,Mandiri
BNI2952,118322,2024-01-11,BNI
BCA2953,-121241,2024-01-09,BCA
BNI2954,-126088,2024-01-04,BNI
BCA2955,100575,2024-01-19,BCA
BNI2956,-130755,2024-01-19,BNI
BCA2957,132673,2024-01-21,BCA
BRI2958,-112829,2024-01-08,BRI
BNI2959,-113574,2024-01-12,BNI
BCA2960,115022,2024-01-02,BCA
Mandiri2961,-108018,2024-01-07,Mandiri
Mandiri2962,-128591,2024-01-03,Mandiri
Mandiri2963,-106977,2024-01-08,Mandiri
BNI2964,-112920,2024-01-24,BNI
Mandiri2965,127840,2024-01-30,Mandiri
Mandiri2966,-131158,2024-01-03,Mandiri
Mandiri2967,118375,2024-01-14,Mandiri
BRI2968,-122893,2024-01-07,BRI
Mandiri2969,113978,2024-01-31,Mandiri
BNI2970,-109100,2024-01-28,BNI
BNI2971,-121515,2024-01-10,BNI
BNI2972,109038,2024-01-26,BNI
Mandiri2973,-108451,2024-01-03,Mandiri
BNI2974,113154,2024-01-03,BNI
BCA2975,-129567,2024-01-26,BCA
BCA2976,131385,2024-01-22,BCA
BRI2977,-118894,2024-01-25,BRI
BCA2978,-125731,2024-01-17,BCA
BRI2979,124488,2024-01-17,BRI
BNI2980,-125404,2024-01-25,BNI
BRI2981,127515,2024-01-12,BRI
Mandiri2982,107525,2024-01-05,Mandiri
BNI2983,-106400,2024-01-06,BNI
BCA2984,-120216,2024-01-09,BCA
BCA2985,123284,2024-01-19,BCA
BRI2986,-117779,2024-01-06,BRI
Mandiri2987,-114479,2024-01-10,Mandiri
BRI2988,128565,2024-01-17,BRI
BCA2989,-131751,2024-01-06,BCA
BCA2990,126268,2024-01-07,BCA
BNI2991,-120039,2024-01-01,BNI
BNI2992,-104810,2024-01-21,BNI
BNI2993,-102209,2024-01-01,BNI
BCA2994,101690,2024-01-11,BCA
Mandiri2995,-102082,2024-01-17,Mandiri
BRI2996,-121481,2024-01-14,BRI
BRI2997,-118128,2024-01-20,BRI
BRI2998,125602,2024-01-12,BRI
BRI2999,-107676,2024-01-10,BRI
Mandiri3000,112109,2024-01-13,Mandiri
BNI3001,-102421,2024-01-10,BNI
BCA3002,100784,2024-01-08,BCA
BRI3003,115921,2024-01-25,BRI
BCA3004,-117284,2024-01-15,BCA
BCA3005,106092,2024-01-08,BCA
BNI3006,-113870,2024-01-02,BNI
BRI3007,130453,2024-01-04,BRI
BCA3008,119515,2024-01-19,BCA
BCA3009,122428,2024-01-05,BCA
BNI3010,103656,2024-01-27,BNI
BNI3011,-122646,2024-01-28,BNI
BNI3012,108940,2024-01-16,BNI
BCA3013,122077,2024-01-11,BCA
BCA3014,124274,2024-01-31,BCA
BNI3015,119378,2024-01-06,BNI
BRI3016,-120808,2024-01-14,BRI
BCA3017,-103149,2024-01-16,BCA
BCA3018,-116789,2024-01-24,BCA
BCA3019,123064,2024-01-19,BCA
BCA3020,100357,2024-01-09,BCA
BNI3021,130768,2024-01-19,BNI
Mandiri3022,-117980,2024-01-07,Mandiri
BRI3023,-125057,2024-01-03,BRI
Mandiri3024,-122438,2024-01-24,Mandiri
BCA3025,127468,2024-01-25,BCA
Mandiri3026,114753,2024-01-05,Mandiri
BCA3027,-129483,2024-01-05,BCA
Mandiri3028,-100622,2024-01-11,Mandiri
BNI3029,109729,2024-01-01,BNI
Mandiri3030,-112502,2024-01-24,Mandiri
BCA3031,-120953,2024-01-20,BCA
BRI3032,-102947,2024-01-12,BRI
BRI3033,-107785,2024-01-25,BRI
Mandiri3034,117397,2024-01-10,Mandiri
BRI3035,-122572,2024-01-23,BRI
BNI3036,114147,2024-01-28,BNI
BCA3037,-103540,2024-01-14,BCA
Mandiri3038,109384,2024-01-06,Mandiri
BCA3039,-113857,2024-01-22,BCA
BNI3040,-132136,2024-01-09,BNI
BRI3041,-108449,2024-01-18,BRI
BNI3042,131862,2024-01-11,BNI
BCA3043,-118824,2024-01-20,BCA
BCA3044,-126715,2024-01-13,BCA
BRI3045,-126395,2024-01-01,BRI
Mandiri3046,116082,2024-01-08,Mandiri
BNI3047,-102792,2024-01-21,BNI
BRI3048,125691,2024-01-26,BRI
BCA3049,123418,2024-01-29,BCA
BCA3050,123268,2024-01-19,BCA
Mandiri3051,-119220,2024-01-17,Mandiri
BCA3052,-120202,2024-01-02,BCA
BCA3053,-109749,2024-01-21,BCA
BCA3054,130997,2024-01-09,BCA
Mandiri3055,-115756,2024-01-18,Mandiri
BRI3056,-119995,2024-01-20,BRI
BNI3057,128361,2024-01-05,BNI
BRI3058,112379,2024-01-30,BRI
BCA3059,102964,2024-01-12,BCA
Mandiri3060,-115966,2024-01-14,Mandiri
BNI3061,124396,2024-01-12,BNI
Mandiri3062,124393,2024-01-11,Mandiri
BRI3063,127669,2024-01-16,BRI
Mandiri3064,116872,2024-01-13,Mandiri
Mandiri3065,112270,2024-01-13,Mandiri
BRI3066,105332,2024-01-01,BRI
BCA3067,-131798,2024-01-14,BCA
BNI3068,115844,2024-01-15,BNI
BNI3069,123316,2024-01-01,BNI
BNI3070,-113542,2024-01-13,BNI
Mandiri3071,-121689,2024-01-21,Mandiri
BNI3072,120827,2024-01-27,BNI
BCA3073,121364,2024-01-01,BCA
BCA3074,-117572,2024-01-07,BCA
BNI3075,-106166,2024-01-28,BNI
BRI3076,-104578,2024-01-31,BRI
BRI3077,-122800,2024-01-24,BRI
Mandiri3078,-102686,2024-01-16,Mandiri
BCA3079,-130040,2024-01-09,BCA
BNI3080,106664,2024-01-03,BNI
Mandiri3081,-118676,2024-01-20,Mandiri
BCA3082,-128153,2024-01-27,BCA
BCA3083,-123482,2024-01-25,BCA
BRI3084,113692,2024-01-12,BRI
Mandiri3085,-100942,2024-01-18,Mandiri
BNI3086,-117214,2024-01-10,BNI
BRI3087,123296,2024-01-17,BRI
BRI3088,-114081,2024-01-06,BRI
Mandiri3089,-118065,2024-01-13,Mandiri
BNI3090,-128258,2024-01-20,BNI
BRI3091,-127797,2024-01-07,BRI
Mandiri3092,-117426,2024-01-25,Mandiri
BCA3093,-105032,2024-01-09,BCA
Mandiri3094,-102675,2024-01-06,Mandiri
BNI3095,-108552,2024-01-05,BNI
BCA3096,-108788,2024-01-18,BCA
BRI3097,101147,2024-01-24,BRI
BCA3098,-100070,2024-01-24,BCA
BRI3099,-128806,2024-01-28,BRI
BNI3100,121182,2024-01-25,BNI
BCA3101,-109092,2024-01-28,BCA
BNI3102,114593,2024-01-23,BNI
BRI3103,-108823,2024-01-03,BRI
BCA3104,101673,2024-01-05,BCA
BCA3105,110350,2024-01-09,BCA
BCA3106,122633,2024-01-05,BCA
Mandiri3107,-105464,2024-01-16,Mandiri
BRI3108,-114809,2024-01-02,BRI
Mandiri3109,-113074,2024-01-11,Mandiri
BRI3110,-110988,2024-01-09,BRI
Mandiri3111,-121948,2024-01-27,Mandiri
Mandiri3112,100039,2024-01-19,Mandiri
BNI3113,-124882,2024-01-12,BNI
BCA3114,113165,2024-01-04,BCA
Mandiri3115,-118498,2024-01-22,Mandiri
Mandiri3116,120084,2024-01-29,Mandiri
BNI3117,123283,2024-01-23,BNI
BNI3118,101233,2024-01-07,BNI
BRI3119,124565,2024-01-08,BRI
BNI3120,-120271,2024-01-05,BNI
BCA3121,112827,2024-01-29,BCA
BCA3122,-121324,2024-01-20,BCA
BNI3123,-107527,2024-01-05,BNI
BRI3124,103041,2024-01-26,BRI
BCA3125,112302,2024-01-20,BCA
BNI3126,-126987,2024-01-11,BNI
BCA3127,121131,2024-01-30,BCA
BNI3128,-130877,2024-01-17,BNI
BNI3129,128297,2024-01-17,BNI
BCA3130,-127873,2024-01-13,BCA
BCA3131,126453,2024-01-22,BCA
BCA3132,111562,2024-01-20,BCA
BNI3133,122299,2024-01-05,BNI
Mandiri3134,107953,2024-01-02,Mandiri
BNI3135,-106930,2024-01-06,BNI
BCA3136,-122508,2024-01-22,BCA
BRI3137,125959,2024-01-03,BRI
Mandiri3138,101375,2024-01-07,Mandiri
BRI3139,132391,2024-01-21,BRI
BCA3140,-113974,2024-01-18,BCA
BCA3141,-118459,2024-01-29,BCA
Mandiri3142,109525,2024-01-03,Mandiri
Mandiri3143,108907,2024-01-10,Mandiri
Mandiri3144,108337,2024-01-15,Mandiri
BCA3145,115533,2024-01-19,BCA
BRI3146,-116342,2024-01-18,BRI
BCA3147,114565,2024-01-01,BCA
BRI3148,-128458,2024-01-19,BRI
BNI3149,-116859,2024-01-02,BNI
Mandiri3150,114821,2024-01-27,Mandiri
BRI3151,107716,2024-01-29,BRI
BNI3152,120349,2024-01-28,BNI
BCA3153,-131968,2024-01-22,BCA
BRI3154,106835,2024-01-23,BRI
Mandiri3155,-104416,2024-01-12,Mandiri
BNI3156,118980,2024-01-05,BNI
Mandiri3157,-128022,2024-01-26,Mandiri
BCA3158,-120299,2024-01-25,BCA
BCA3159,103124,2024-01-10,BCA
Mandiri3160,-103230,2024-01-25,Mandiri
Mandiri3161,119599,2024-01-03,Mandiri
Mandiri3162,-107486,2024-01-10,Mandiri
BRI3163,-132473,2024-01-31,BRI
BNI3164,116511,2024-01-30,BNI
BRI3165,-112754,2024-01-11,BRI
BNI3166,128974,2024-01-05,BNI
BNI3167,-126178,2024-01-10,BNI
BRI3168,-131836,2024-01-24,BRI
BCA3169,123510,2024-01-28,BCA
BCA3170,-129980,2024-01-31,BCA
Mandiri3171,131962,2024-01-13,Mandiri
BRI3172,106772,2024-01-22,BRI
Mandiri3173,-114112,2024-01-29,Mandiri
BCA3174,-106769,2024-01-16,BCA
BCA3175,-132573,2024-01-16,BCA
Mandiri3176,100286,2024-01-16,Mandiri
BNI3177,-132733,2024-01-21,BNI
BRI3178,-100973,2024-01-23,BRI
Mandiri3179,116857,2024-01-08,Mandiri
BRI3180,110485,2024-01-16,BRI
BNI3181,106751,2024-01-19,BNI
BRI3182,131377,2024-01-06,BRI
Mandiri3183,-104931,2024-01-29,Mandiri
Mandiri3184,-127844,2024-01-19,Mandiri
BRI3185,-132344,2024-01-21,BRI
BCA3186,-123597,2024-01-09,BCA
BCA3187,110074,2024-01-19,BCA
BNI3188,128466,2024-01-18,BNI
BRI3189,120696,2024-01-13,BRI
BNI3190,-111049,2024-01-16,BNI
BCA3191,-101821,2024-01-22,BCA
BCA3192,108748,2024-01-17,BCA
BCA3193,-102310,2024-01-24,BCA
Mandiri3194,-112277,2024-01-10,Mandiri
BRI3195,116716,2024-01-16,BRI
BCA3196,115382,2024-01-04,BCA
BRI3197,-115265,2024-01-08,BRI
BRI3198,-121872,2024-01-28,BRI
BRI3199,122463,2024-01-27,BRI
BCA3200,109904,2024-01-11,BCA
BRI3201,-126932,2024-01-02,BRI
Mandiri3202,-111577,2024-01-17,Mandiri
BRI3203,-109609,2024-01-08,BRI
BRI3204,-113256,2024-01-28,BRI
BRI3205,-127420,2024-01-05,BRI
BCA3206,118360,2024-01-26,BCA
BNI3207,-114795,2024-01-20,BNI
Mandiri3208,109124,2024-01-08,Mandiri
Mandiri3209,123354,2024-01-23,Mandiri
BNI3210,119434,2024-01-20,BNI
BCA3211,-125432,2024-01-14,BCA
BRI3212,118733,2024-01-02,BRI
Mandiri3213,104726,2024-01-01,Mandiri
BCA3214,131471,2024-01-29,BCA
BRI3215,126892,2024-01-23,BRI
BNI3216,-122491,2024-01-02,BNI
Mandiri3217,-106650,2024-01-20,Mandiri
BRI3218,-102899,2024-01-01,BRI
BRI3219,-110988,2024-01-04,BRI
BCA3220,-110083,2024-01-02,BCA
BRI3221,-111051,2024-01-13,BRI
Mandiri3222,-102079,2024-01-13,Mandiri
BNI3223,110237,2024-01-27,BNI
BRI3224,-131009,2024-01-20,BRI
BCA3225,106758,2024-01-19,BCA
BCA3226,-108094,2024-01-19,BCA
BNI3227,109444,2024-01-18,BNI
BCA3228,102886,2024-01-15,BCA
BRI3229,118559,2024-01-04,BRI
Mandiri3230,-103567,2024-01-04,Mandiri
Mandiri3231,128482,2024-01-12,Mandiri
BNI3232,101472,2024-01-04,BNI
Mandiri3233,-130457,2024-01-24,Mandiri
BRI3234,103918,2024-01-13,BRI
Mandiri3235,131180,2024-01-08,Mandiri
BCA3236,103309,2024-01-24,BCA
BNI3237,-106917,2024-01-25,BNI
BCA3238,-101570,2024-01-18,BCA
BRI3239,-119755,2024-01-24,BRI
Mandiri3240,-101534,2024-01-29,Mandiri
BCA3241,102875,2024-01-28,BCA
BCA3242,116581,2024-01-26,BCA
Mandiri3243,-102457,2024-01-07,Mandiri
BNI3244,-122827,2024-01-23,BNI
BCA3245,-109242,2024-01-02,BCA
BRI3246,102837,2024-01-27,BRI
BRI3247,130006,2024-01-29,BRI
Mandiri3248,-115771,2024-01-25,Mandiri
Mandiri3249,-116192,2024-01-07,Mandiri
BRI3250,-130654,2024-01-08,BRI
BNI3251,121294,2024-01-27,BNI
BNI3252,-123312,2024-01-26,BNI
BCA3253,-106504,2024-01-03,BCA
BCA3254,103395,2024-01-14,BCA
BCA3255,132652,2024-01-12,BCA
BNI3256,119797,2024-01-23,BNI
BCA3257,-100807,2024-01-19,BCA
BCA3258,117105,2024-01-31,BCA
BRI3259,103035,2024-01-06,BRI
BCA3260,121863,2024-01-23,BCA
BNI3261,130821,2024-01-15,BNI
BRI3262,130915,2024-01-17,BRI
BCA3263,122657,2024-01-15,BCA
BCA3264,-117509,2024-01-16,BCA
Mandiri3265,131389,2024-01-04,Mandiri
BCA3266,122772,2024-01-16,BCA
BRI3267,126331,2024-01-05,BRI
BNI3268,127704,2024-01-06,BNI
BRI3269,118900,2024-01-09,BRI
Mandiri3270,-119143,2024-01-05,Mandiri
BRI3271,124599,2024-01-06,BRI
BNI3272,-108705,2024-01-16,BNI
BCA3273,-122617,2024-01-31,BCA
BNI3274,126358,2024-01-08,BNI
BRI3275,103284,2024-01-25,BRI
BCA3276,107750,2024-01-11,BCA
BNI3277,-105441,2024-01-30,BNI
Mandiri3278,105916,2024-01-25,Mandiri
BRI3279,114714,2024-01-04,BRI
BNI3280,-118139,2024-01-05,BNI
BRI3281,-127039,2024-01-27,BRI
Mandiri3282,-119716,2024-01-21,Mandiri
Mandiri3283,117241,2024-01-11,Mandiri
BNI3284,-111920,2024-01-15,BNI
BRI3285,101159,2024-01-05,BRI
Mandiri3286,132175,2024-01-13,Mandiri
BCA3287,119075,2024-01-03,BCA
BNI3288,-122175,2024-01-03,BNI
Mandiri3289,120928,2024-01-17,Mandiri
BRI3290,119494,2024-01-21,BRI
Mandiri3291,-117513,2024-01-25,Mandiri
BNI3292,-132210,2024-01-25,BNI
Mandiri3293,-114155,2024-01-05,Mandiri
BRI3294,104100,2024-01-31,BRI
BCA3295,-127446,2024-01-25,BCA
BRI3296,102423,2024-01-20,BRI
BRI3297,130103,2024-01-30,BRI
Mandiri3298,109153,2024-01-11,Mandiri
Mandiri3299,117902,2024-01-09,Mandiri
Mandiri3300,-121507,2024-01-07,Mandiri
Mandiri3301,118048,2024-01-15,Mandiri
BRI3302,-109918,2024-01-27,BRI
BNI3303,117734,2024-01-08,BNI
BNI3304,128040,2024-01-24,BNI
BCA3305,-105900,2024-01-23,BCA
BCA3306,107957,2024-01-13,BCA
BCA3307,-112609,2024-01-03,BCA
Mandiri3308,106615,2024-01-29,Mandiri
BRI3309,130691,2024-01-09,BRI
Mandiri3310,-110013,2024-01-14,Mandiri
Mandiri3311,-125486,2024-01-04,Mandiri
Mandiri3312,-106259,2024-01-04,Mandiri
BCA3313,-108338,2024-01-28,BCA
BCA3314,-104798,2024-01-15,BCA
BCA3315,-102723,2024-01-19,BCA
BRI3316,100572,2024-01-17,BRI
BRI3317,-108575,2024-01-19,BRI
BNI3318,-114457,2024-01-08,BNI
BRI3319,-129080,2024-01-28,BRI
BNI3320,-118647,2024-01-26,BNI
BNI3321,-108362,2024-01-02,BNI
BNI3322,-118997,2024-01-10,BNI
BNI3323,102244,2024-01-20,BNI
BCA3324,109183,2024-01-23,BCA
BRI3325,-115657,2024-01-12,BRI
BNI3326,-127082,2024-01-03,BNI
BCA3327,111032,2024-01-06,BCA
BCA3328,130668,2024-01-13,BCA
BCA3329,-130048,2024-01-01,BCA
Mandiri3330,-125934,2024-01-26,Mandiri
BNI3331,-123614,2024-01-16,BNI
BNI3332,100678,2024-01-05,BNI
Mandiri3333,111266,2024-01-17,Mandiri
Mandiri3334,118209,2024-01-01,Mandiri
BRI3335,131600,2024-01-11,BRI
BRI3336,123144,2024-01-01,BRI
BCA3337,-110187,2024-01-22,BCA
BNI3338,109657,2024-01-06,BNI
BNI3339,110008,2024-01-13,BNI
BNI3340,-102357,2024-01-21,BNI
BCA3341,110746,2024-01-27,BCA
Mandiri3342,-124366,2024-01-16,Mandiri
BRI3343,-119756,2024-01-21,BRI
BRI3344,121308,2024-01-12,BRI
BRI3345,-130607,2024-01-13,BRI
BNI3346,-111396,2024-01-11,BNI
BRI3347,109286,2024-01-15,BRI
Mandiri3348,129291,2024-01-01,Mandiri
BCA3349,129001,2024-01-24,BCA
BCA3350,114522,2024-01-22,BCA
Mandiri3351,-102437,2024-01-24,Mandiri
BNI3352,-121462,2024-01-23,BNI
BCA3353,105725,2024-01-20,BCA
BCA3354,-110134,2024-01-03,BCA
BCA3355,132550,2024-01-10,BCA
Mandiri3356,108932,2024-01-29,Mandiri
Mandiri3357,103574,2024-01-23,Mandiri
BCA3358,-114380,2024-01-17,BCA
BNI3359,118400,2024-01-15,BNI
BCA3360,111838,2024-01-11,BCA
BCA3361,104975,2024-01-27,BCA
BNI3362,-128467,2024-01-13,BNI
BCA3363,-123298,2024-01-10,BCA
BRI3364,129304,2024-01-16,BRI
BNI3365,-124914,2024-01-02,BNI
BCA3366,129959,2024-01-01,BCA
BCA3367,-111597,2024-01-03,BCA
BCA3368,122139,2024-01-15,BCA
Mandiri3369,-130479,2024-01-09,Mandiri
BRI3370,-104988,2024-01-30,BRI
BRI3371,102706,2024-01-27,BRI
BNI3372,126040,2024-01-31,BNI
Mandiri3373,-121884,2024-01-01,Mandiri
BRI3374,132616,2024-01-19,BRI
BNI3375,-131755,2024-01-25,BNI
BRI3376,-105134,2024-01-12,BRI
Mandiri3377,103599,2024-01-16,Mandiri
Mandiri3378,-123022,2024-01-11,Mandiri
BNI3379,-130585,2024-01-04,BNI
BCA3380,122390,2024-01-30,BCA
BRI3381,116605,2024-01-11,BRI
BNI3382,-105514,2024-01-17,BNI
BNI3383,-121249,2024-01-26,BNI
BNI3384,-109075,2024-01-08,BNI
BNI3385,125936,2024-01-19,BNI
BNI3386,-110976,2024-01-19,BNI
Mandiri3387,114789,2024-01-06,Mandiri
BNI3388,-104668,2024-01-27,BNI
BNI3389,131147,2024-01-03,BNI
BCA3390,118756,2024-01-01,BCA
Mandiri3391,107492,2024-01-23,Mandiri
BNI3392,118341,2024-01-24,BNI
BNI3393,-130014,2024-01-28,BNI
Mandiri3394,128424,2024-01-27,Mandiri
BNI3395,124434,2024-01-25,BNI
BNI3396,-122993,2024-01-30,BNI
Mandiri3397,-106504,2024-01-25,Mandiri
BCA3398,-105511,2024-01-01,BCA
BCA3399,112694,2024-01-02,BCA
Mandiri3400,-119353,2024-01-28,Mandiri
BNI3401,132080,2024-01-23,BNI
BCA3402,123797,2024-01-18,BCA
Mandiri3403,-125574,2024-01-31,Mandiri
Mandiri3404,-125785,2024-01-17,Mandiri
BCA3405,-128769,2024-01-08,BCA
BRI3406,-125571,2024-01-13,BRI
BNI3407,108675,2024-01-15,BNI
Mandiri3408,129632,2024-01-10,Mandiri
Mandiri3409,103978,2024-01-29,Mandiri
Mandiri3410,-113972,2024-01-06,Mandiri
BCA3411,122388,2024-01-13,BCA
BCA3412,-117844,2024-01-23,BCA
BCA3413,-110546,2024-01-12,BCA
Mandiri3414,100513,2024-01-19,Mandiri
BRI3415,-115044,2024-01-07,BRI
BNI3416,124455,2024-01-18,BNI
BCA3417,-119452,2024-01-05,BCA
BCA3418,130381,2024-01-31,BCA
BRI3419,-114043,2024-01-07,BRI
Mandiri3420,117724,2024-01-11,Mandiri
BRI3421,107231,2024-01-23,BRI
BRI3422,101833,2024-01-04,BRI
BCA3423,-113054,2024-01-30,BCA
BNI3424,123256,2024-01-21,BNI
BNI3425,-119523,2024-01-13,BNI
Mandiri3426,128261,2024-01-18,Mandiri
BRI3427,129382,2024-01-21,BRI
BNI3428,-111018,2024-01-17,BNI
Mandiri3429,121307,2024-01-01,Mandiri
BCA3430,-110683,2024-01-09,BCA
BNI3431,102818,2024-01-31,BNI
BRI3432,108089,2024-01-29,BRI
BCA3433,-116133,2024-01-07,BCA
Mandiri3434,-121179,2024-01-11,Mandiri
BNI3435,-110060,2024-01-01,BNI
BRI3436,-130608,2024-01-09,BRI
BCA3437,-115523,2024-01-15,BCA
BRI3438,101207,2024-01-16,BRI
BRI3439,-107276,2024-01-26,BRI
Mandiri3440,101834,2024-01-31,Mandiri
BCA3441,113175,2024-01-11,BCA
BCA3442,-114862,2024-01-25,BCA
BRI3443,-100879,2024-01-30,BRI
BNI3444,-103453,2024-01-29,BNI
Mandiri3445,-103905,2024-01-08,Mandiri
Mandiri3446,119767,2024-01-16,Mandiri
BNI3447,122918,2024-01-07,BNI
BNI3448,-111241,2024-01-21,BNI
BRI3449,-105337,2024-01-10,BRI
BNI3450,102451,2024-01-23,BNI
BCA3451,124735,2024-01-25,BCA
BCA3452,-119262,2024-01-13,BCA
BNI3453,123979,2024-01-06,BNI
Mandiri3454,-130706,2024-01-13,Mandiri
Mandiri3455,-115557,2024-01-10,Mandiri
BCA3456,-131408,2024-01-26,BCA
Mandiri3457,-122006,2024-01-16,Mandiri
BRI3458,121217,2024-01-10,BRI
Mandiri3459,102615,2024-01-05,Mandiri
BRI3460,-105242,2024-01-10,BRI
BRI3461,122980,2024-01-09,BRI
Mandiri3462,120154,2024-01-02,Mandiri
BCA3463,-126696,2024-01-22,BCA
BCA3464,-113395,2024-01-25,BCA
BNI3465,119623,2024-01-18,BNI
Mandiri3466,108552,2024-01-04,Mandiri
BCA3467,-113564,2024-01-24,BCA
BCA3468,-119348,2024-01-07,BCA
BNI3469,-118488,2024-01-01,BNI
Mandiri3470,130204,2024-01-15,Mandiri
Mandiri3471,-130047,2024-01-04,Mandiri
BRI3472,124356,2024-01-31,BRI
Mandiri3473,115695,2024-01-12,Mandiri
BCA3474,114323,2024-01-25,BCA
Mandiri3475,-109891,2024-01-22,Mandiri
Mandiri3476,-115146,2024-01-09,Mandiri
Mandiri3477,-109218,2024-01-21,Mandiri
Mandiri3478,125156,2024-01-30,Mandiri
BCA3479,129696,2024-01-06,BCA
BRI3480,110354,2024-01-05,BRI
BRI3481,105726,2024-01-27,BRI
BRI3482,-115916,2024-01-28,BRI
BNI3483,-103402,2024-01-03,BNI
BNI3484,-128570,2024-01-05,BNI
BNI3485,-129159,2024-01-15,BNI
Mandiri3486,115800,2024-01-15,Mandiri
BNI3487,-106737,2024-01-05,BNI
Mandiri3488,113828,2024-01-20,Mandiri
BNI3489,-123505,2024-01-04,BNI
BRI3490,124086,2024-01-12,BRI
BRI3491,101787,2024-01-05,BRI
BNI3492,-100122,2024-01-24,BNI
BNI3493,-117402,2024-01-14,BNI
BRI3494,-115771,2024-01-15,BRI
BCA3495,109251,2024-01-03,BCA
BNI3496,126528,2024-01-18,BNI
Mandiri3497,117070,2024-01-20,Mandiri
Mandiri3498,-120882,2024-01-04,Mandiri
BCA3499,122831,2024-01-19,BCA
BCA3500,-118973,2024-01-22,BCA
BCA3501,-127929,2024-01-14,BCA
Mandiri3502,-126570,2024-01-27,Mandiri
BCA3503,-125202,2024-01-19,BCA
BCA3504,102184,2024-01-22,BCA
BCA3505,-131882,2024-01-11,BCA
Mandiri3506,-124541,2024-01-05,Mandiri
BCA3507,122599,2024-01-11,BCA
Mandiri3508,105907,2024-01-24,Mandiri
Mandiri3509,125708,2024-01-23,Mandiri
BNI3510,118496,2024-01-20,BNI
BCA3511,131464,2024-01-18,BCA
BCA3512,128921,2024-01-14,BCA
BRI3513,113060,2024-01-21,BRI
